acad_org,catalog_nbr,class_nbr,subject,subject_descr,descr,units,acad_career_descr,description
AAS,1020,10001,AAS,African-American & African,Introduction to African-American and African Studies II,4,Undergraduate,"This introductory course builds upon the histories of people of African descent in Africa, the Americas, and the Caribbean surveyed in AAS 1010. Drawing on disciplines such as Anthropology, History, Religious Studies, Political Science and Sociology, the course focuses on the period from the late 19th century to the present and is comparative in perspective. It examines the links and disjunctions between communities of African descent in the United States and in Latin America, the Caribbean, and Africa. The course begins with an overview of AAS, its history, assumptions, boundaries, and topics of inquiry, and then proceeds to focus on a number of inter-related themes: patterns of cultural experience; community formation; comparative racial classification; language and society; family and kinship; religion; social and political movements; arts and aesthetics; and archaeology of the African Diaspora."
AAS,2224,11527,AAS,African-American & African,Black Femininities and Masculinities in the US Media,3,Undergraduate,"This course, taught as a lower-level seminar, will address the role the media has played in creating images and understandings of 'Blackness' in the United States, particularly where it converges with popular ideologies about gender."
AAS,2500,13840,AAS,African-American & African,Topics Course in Africana Studies,3,Undergraduate,"Lower-level topics course: reading, class discussion, and written assignments on a special topic in African-American and African Studies Topics change from term to term, and vary with the instructor."
AAS,2559,19570,AAS,African-American & African,New Course in African and African American Studies,3,Undergraduate,New course in the subject of African and African American Studies
AAS,3300,12786,AAS,African-American & African,Social Science Perspectives on African American and African Studies,3,Undergraduate,"This course will focus on major debates, theories, and methodological approaches in the social sciences that contribute to African American Studies. The course helps students to consider how a multidisciplinary approach enriches efforts to analyze such issues as health disparities, education, and incarceration as they relate to the African Diaspora."
AAS,3500,13732,AAS,African-American & African,Intermediate Seminar in African-American & African Studies,3,Undergraduate,"Reading, class discussion, and written assignments on a special topic in African-American and African Studies Topics change from term to term, and vary with the instructor. Primarily for fourth-year students but open to others."
AAS,3559,20561,AAS,African-American & African,New Course in African and African American Studies,3,Undergraduate,New course in the subject of African and African American Studies.
AAS,3810,19283,AAS,African-American & African,"Race, Culture and Inequality",3,Undergraduate,"This course will examine how culture matters for understanding race and social inequality. It will survey social science research about cultural forms such as everyday discourse, styles of dress, music, literature, visual arts, and media as they relate to race and inequality."
AAS,3853,19582,AAS,African-American & African,From Redlined to Subprime: Race and Real Estate in the US,3,Undergraduate,"This course examines the history of housing and real estate and explores its role in shaping the meaning and lived experience of race in modern America. We will learn how and why real estate ownership, investment, and development came to play a critical role in the formation and endurance of racial segregation, modern capitalism, and the built environment."
AAS,4080,10008,AAS,African-American & African,Thesis,3,Undergraduate,Second-semester DMP students should enroll in this course to complete their theses.
