subject,descr,acad_groups,acad_orgs,careers,campuses
AAS,AAS - African-American and African Studies,['CGAS'],['AAS'],"['GRAD', 'UGRD']",['MAIN']
ACCT,ACCT - Accounting,['SCPS'],['SCPSD'],"['GRAD', 'UGRD']",['SCPS']
AIRS,AIRS - Air Science,['PROV'],['AIRS'],['UGRD'],['MAIN']
ALAR,ALAR - Architecture and Landscape Architecture,['ARCH'],['ALAR'],['GRAD'],['MAIN']
AMST,AMST - American Studies,['CGAS'],['AMST'],"['GRAD', 'UGRD']",['MAIN']
ANTH,ANTH - Anthropology,['CGAS'],['ANTH'],"['GRAD', 'UGRD']",['MAIN']
APMA,APMA - Applied Mathematics,['ENGR'],['APMA'],"['GRAD', 'UGRD']",['MAIN']
ARAB,ARAB - Arabic,['CGAS'],['MESA'],"['GRAD', 'UGRD']",['MAIN']
ARAD,ARAD - Arts Administration,['CGAS'],['ART'],['UGRD'],['MAIN']
ARAH,ARAH - History of Art and Architecture,['CGAS'],['ART'],['GRAD'],['MAIN']
ARCH,ARCH - Architecture,['ARCH'],['ARCHDP'],"['GRAD', 'UGRD']",['MAIN']
ARCY,ARCY - Archaeology,['CGAS'],['ANTH'],['UGRD'],['MAIN']
ARH,ARH - Architectural History,['ARCH'],['ARH'],"['GRAD', 'UGRD']",['MAIN']
ARTH,ARTH - History of Art,['CGAS'],['ART'],['UGRD'],['MAIN']
ARTR,ARTR - Arabic in Translation,['CGAS'],['MESA'],"['GRAD', 'UGRD']",['MAIN']
ARTS,ARTS - Studio Art,['CGAS'],['ART'],['UGRD'],['MAIN']
ASL,ASL - American Sign Language,['CGAS'],['ASL'],['UGRD'],['MAIN']
ASTR,ASTR - Astronomy,['CGAS'],['ASTR'],"['GRAD', 'UGRD']",['MAIN']
BIMS,BIMS - Biomedical Sciences,['MDS'],['BIMS'],['GRAD'],['MAIN']
BIOC,BIOC - Biochemistry,['MDS'],['BIOC'],['GRAD'],['MAIN']
BIOL,BIOL - Biology,['CGAS'],['BIOL'],"['GRAD', 'UGRD']",['MAIN']
BIOP,BIOP - Biophysics,['MDS'],['BIOP'],['GRAD'],['MAIN']
BME,BME - Biomedical Engineering,['ENGR'],['BIOM'],"['GRAD', 'UGRD']",['MAIN']
BUS,BUS - Business,['SCPS'],['SCPSD'],['GRAD'],['SCPS']
CASS,CASS - College Art Scholars Seminar,['CGAS'],['CGASD'],['UGRD'],['MAIN']
CE,CE - Civil Engineering,['ENGR'],['ESE'],"['GRAD', 'UGRD']",['MAIN']
CELL,CELL - Cell Biology,['MDS'],['CELL'],['GRAD'],['MAIN']
CHE,CHE - Chemical Engineering,['ENGR'],['CHE'],"['GRAD', 'UGRD']",['MAIN']
CHEM,CHEM - Chemistry,['CGAS'],['CHEM'],"['GRAD', 'UGRD']",['MAIN']
CHIN,CHIN - Chinese,['CGAS'],['EALC'],['UGRD'],['MAIN']
CHTR,CHTR - Chinese in Translation,['CGAS'],['EALC'],"['GRAD', 'UGRD']",['MAIN']
CLAS,CLAS - Classics,['CGAS'],['CLAS'],"['GRAD', 'UGRD']",['MAIN']
COGS,COGS - Cognitive Science,['CGAS'],['COGS'],['UGRD'],['MAIN']
COMM,COMM - Commerce,['COMM'],['COMMD'],"['GRAD', 'UGRD']","['MAIN', 'ONLNE']"
CONC,CONC - Commerce-Non-Credit,['COMM'],['COMMD'],['NOCR'],['ONLNE']
CPE,CPE - Computer Engineering,['ENGR'],['ECE'],['GRAD'],['MAIN']
CREO,CREO - Creole,['CGAS'],['FREN'],['UGRD'],['MAIN']
CS,CS - Computer Science,['ENGR'],['CS'],"['GRAD', 'UGRD']",['MAIN']
DANC,DANC - Dance,['CGAS'],['DRAM'],['UGRD'],['MAIN']
DEM,DEM - Democracy Initiative,['CGAS'],['CGASD'],"['GRAD', 'UGRD']",['MAIN']
DH,DH - Digital Humanities,['CGAS'],['CGASD'],['GRAD'],['MAIN']
DRAM,DRAM - Drama,['CGAS'],['DRAM'],"['GRAD', 'UGRD']",['MAIN']
DS,DS - Data Science,['DSCI'],['DATAD'],"['GRAD', 'UGRD']",['MAIN']
EALC,"EALC - East Asian Languages, Literatures, and Cultures",['CGAS'],['EALC'],['UGRD'],['MAIN']
EAST,EAST - East Asian Studies,['CGAS'],['EALC'],"['GRAD', 'UGRD']",['MAIN']
ECE,ECE - Electrical and Computer Engineering,['ENGR'],['ECE'],"['GRAD', 'UGRD']",['MAIN']
ECON,ECON - Economics,['CGAS'],['ECON'],"['GRAD', 'UGRD']",['MAIN']
EDHS,EDHS - Education-Human Services,['EDUC'],['EDHS'],"['GRAD', 'UGRD']","['MAIN', 'ONLNE']"
EDIS,"EDIS - Education-Curriculum, Instruction, & Special Ed",['EDUC'],['EDIS'],"['GRAD', 'UGRD']","['MAIN', 'ONLNE']"
EDLF,"EDLF - Education-Leadership, Foundations, and Policy",['EDUC'],['EDLF'],"['GRAD', 'UGRD']","['MAIN', 'OFFGR', 'ONLNE']"
EDNC,EDNC - Education-Non-Credit,['EDUC'],['EDUCD'],['NOCR'],"['MAIN', 'OFFGR', 'ONLNE']"
EGMT,EGMT - Engagement,['CGAS'],['CGASD'],['UGRD'],['MAIN']
ENCW,ENCW - English-Creative Writing,['CGAS'],['ENGL'],"['GRAD', 'UGRD']",['MAIN']
ENGL,ENGL - English Literature,['CGAS'],['ENGL'],"['GRAD', 'UGRD']",['MAIN']
ENGR,ENGR - Engineering,['ENGR'],"['ENGRD', 'STS']","['GRAD', 'UGRD']",['MAIN']
ENTP,ENTP - Entrepreneurship,['COMM'],['COMMD'],['UGRD'],"['MAIN', 'ONLNE']"
ENVH,ENVH - Environmental Humanities,['CGAS'],['CGASD'],['GRAD'],['MAIN']
ENWR,"ENWR - English-Academic, Professional, & Creative Writing",['CGAS'],['ENGL'],['UGRD'],['MAIN']
